WKT;WKT_2;ID;CO_FRAC_RA;COMUNA;FRACCION;RADIO;TOTAL_POB;T_VARON;T_MUJER;I_MASCULINIDAD;T_VIVIENDA;V_PARTICUL;V_PARTICUL_POR;V_COLECTIV;V_COLECTIV_POR;T_HOGAR;H_CON_NBI;H_CON_NBI_POR;H_SIN_NBI;H_SIN_NBI_POR
MULTIPOLYGON (((-58.372489764082054 -34.591546570810728,-58.372611919516402 -34.59151271605257,-58.372623878948012 -34.591682549694383,-58.373690762625685 -34.591164829575689,-58.373750269203882 -34.591153518884397,-58.373974541729943 -34.591130973987106,-58.374153045168192 -34.591112180170079,-58.374001304695014 -34.590945612852963,-58.373551693744893 -34.590495846031075,-58.373790906972935 -34.590357690084311,-58.373497681143306 -34.58998309511086,-58.372689323596518 -34.588991405959604,-58.377251348888542 -34.586418666982766,-58.377214745405055 -34.586239760920847,-58.377141384871457 -34.58603223638012,-58.37705375669249 -34.585859005335308,-58.37705321764016 -34.585811871026067,-58.376927562809364 -34.585686321586984,-58.376632769274693 -34.585638679410209,-58.375536787014418 -34.584311824619405,-58.375648181119558 -34.58422221290656,-58.375779490532565 -34.584191622656306,-58.37643628980414 -34.583793198745461,-58.377290103311786 -34.583291056293547,-58.376710511988811 -34.582589123603846,-58.376624569389953 -34.582472927844861,-58.376502452244758 -34.582296765741411,-58.376380331741061 -34.582124349805063,-58.375927946975359 -34.581573323438718,-58.375832963030412 -34.58144213548961,-58.375126962143703 -34.580535192916891,-58.373971739765643 -34.579102296303084,-58.373972662806899 -34.579100266318122,-58.3738505825076 -34.57894498558219,-58.374303728020109 -34.57869977404517,-58.368009146042262 -34.578210314661916,-58.367976707757961 -34.578208247154095,-58.36794980412057 -34.578206043083306,-58.367928512282667 -34.578210745058392,-58.367909428560566 -34.578220448951797,-58.367877732676227 -34.57823943920458,-58.365429003621173 -34.579640316691886,-58.365333404361294 -34.579695031454669,-58.365315256456633 -34.57970487653688,-58.365292924080464 -34.579725211666585,-58.365242545634061 -34.580138146179145,-58.365250783198057 -34.580156815494988,-58.365275294210342 -34.580166765047828,-58.365302113505876 -34.58016875836433,-58.370562952187214 -34.58058257824058,-58.370590026724187 -34.580584993140455,-58.370608747712424 -34.580595571081339,-58.370616640491541 -34.58061916955441,-58.370596956612808 -34.580786767215976,-58.370590121030858 -34.580808241812555,-58.37057205507589 -34.580821327306339,-58.369830535058234 -34.581244867228968,-58.369027319092893 -34.581704201810858,-58.369008745753753 -34.581713765411138,-58.368987701177169 -34.581725017320785,-58.368951083561662 -34.581727947067272,-58.368929457480867 -34.581726240244244,-58.368898210375434 -34.581723751344001,-58.368871305738999 -34.581721406624986,-58.365205958336304 -34.581428169825557,-58.36266917580047 -34.58122744700993,-58.362639204703591 -34.581226295636107,-58.36261228529473 -34.581236555674629,-58.36054462089119 -34.582410665163621,-58.36052536134612 -34.582423396039147,-58.360509157117733 -34.582444369241514,-58.360505553394766 -34.582466761500704,-58.360465333312959 -34.58283822178101,-58.360471264020084 -34.582862593934991,-58.360489803239808 -34.58288190601963,-58.360510142183898 -34.58289178260604,-58.360537983012328 -34.58289462292926,-58.365203474626739 -34.583263383423045,-58.366092286096666 -34.583333811336701,-58.366114931904228 -34.583337632231093,-58.366139263550032 -34.583356314212836,-58.366141876275542 -34.583379627084675,-58.366144245672508 -34.58353970587298,-58.36614277635136 -34.583558508289684,-58.36613160156169 -34.583575753668853,-58.366113191504056 -34.583590739708775,-58.366072109965465 -34.583624018399789,-58.365537547629224 -34.584046709726671,-58.365202591076461 -34.584311594170387,-58.364986790390105 -34.584478400161608,-58.364959180672301 -34.584495773122015,-58.36493414167888 -34.58449934476134,-58.364909195177859 -34.584496648610958,-58.36052442746751 -34.584160507894047,-58.359949541001399 -34.584111502171133,-58.359906778862495 -34.584124354006995,-58.359894898598832 -34.584160190517103,-58.359709119095299 -34.585867637788496,-58.35970857567677 -34.585893976413956,-58.359717324705876 -34.585911660561607,-58.359731954040846 -34.585925546700636,-58.359750761909545 -34.58593457701302,-58.35977902949513 -34.585937417868827,-58.359801933348372 -34.585939479517002,-58.35983709874229 -34.585942044473377,-58.36361443254247 -34.586235392575603,-58.363635632154548 -34.586238578926348,-58.363653412568056 -34.586252748854335,-58.363655427355425 -34.586277117662874,-58.363521695096573 -34.587457619621787,-58.363497045442827 -34.5874910516253,-58.363441613053112 -34.587487837413612,-58.359651547188648 -34.587184684098688,-58.359614933119261 -34.587182540417267,-58.359592275869872 -34.58718738062602,-58.35956875479863 -34.587202150073971,-58.359556211504099 -34.587222774099075,-58.359551925813875 -34.587245377011868,-58.359455945544042 -34.588079906526197,-58.359478421758425 -34.588083939782464,-58.359501238598988 -34.588087973322615,-58.359524225927814 -34.588091866151956,-58.359547043120862 -34.588095617982546,-58.359569774724903 -34.588099721863195,-58.359591995221237 -34.588103966158243,-58.359613704261911 -34.588108632569615,-58.359634646292157 -34.588113791306483,-58.359636921417753 -34.588133301044863,-58.35963774958708 -34.588152246158536,-58.359641047456826 -34.588171052507086,-58.359644941768465 -34.588189577657815,-58.359651731824286 -34.588207753126937,-58.359659714590521 -34.588225507050446,-58.35966948650848 -34.588242558230668,-58.359680025096665 -34.588259398781219,-58.359693887039718 -34.588274411077336,-58.359708686314157 -34.588288931185446,-58.359725616844777 -34.588301551606307,-58.35974348505443 -34.588313398137139,-58.359763314815361 -34.588322851858635,-58.359784168539633 -34.588330616232454,-58.359805278257404 -34.588337958266571,-58.359834735114063 -34.588343828401008,-58.360832427846219 -34.588552279126063,-58.360813633901877 -34.58867078926334,-58.360797224426051 -34.588719439463233,-58.360740245487229 -34.588936020171808,-58.360772598040505 -34.588941822073885,-58.360847270495398 -34.588671028616503,-58.360876266071436 -34.588566541626406,-58.361405388902647 -34.588669732503618,-58.363467318268889 -34.589034967677641,-58.364530496011376 -34.589248864823261,-58.36519086542036 -34.589375031615511,-58.365639921828993 -34.589457327000474,-58.366821978984532 -34.589693148644422,-58.367990838611519 -34.589923486100261,-58.36797503341289 -34.590111615981904,-58.3679315748821 -34.590440645025531,-58.367774340983857 -34.590528552355131,-58.367728688062492 -34.590557860012417,-58.367530883858713 -34.59066250297645,-58.367461603248202 -34.590647996858763,-58.367428396049071 -34.590643886271231,-58.367395017329713 -34.590640831920346,-58.367361467330262 -34.590638622530193,-58.367327916205973 -34.590637399084322,-58.367294278877516 -34.590637091090827,-58.367260640260824 -34.590637909892003,-58.367227085835431 -34.590639573853473,-58.367193700517106 -34.590642294317703,-58.367160399387849 -34.590645859942505,-58.367127182204726 -34.590650482003404,-58.367094304523064 -34.590656090275608,-58.36706159618587 -34.590662543775373,-58.367029227348027 -34.590669983486855,-58.366997198089187 -34.590678338985029,-58.366965508408491 -34.590687610270159,-58.366934243463632 -34.590697797409462,-58.366903403172877 -34.590708970828203,-58.366873072936578 -34.590720919318038,-58.366843337831945 -34.590733713371577,-58.366814112537789 -34.590747493772653,-58.366785397377107 -34.590761978820488,-58.366757362585915 -34.590777239075237,-58.366730007920907 -34.590793485812419,-58.366703418864269 -34.590810437398716,-58.366677510338036 -34.590828023342119,-58.366652282017853 -34.590846525344844,-58.366627989785201 -34.590865591481375,-58.366604377920389 -34.590885432827122,-58.366581701980991 -34.590905979158158,-58.366559962048214 -34.590927160050548,-58.366538987966713 -34.590948834519374,-58.366519034970096 -34.590971214042312,-58.366499932903103 -34.590994157635059,-58.366481596038696 -34.591018158207596,-58.366363870150707 -34.591196945600252,-58.366268193955001 -34.591159896751797,-58.366228521773202 -34.591223177743075,-58.366318400526353 -34.591265996918445,-58.365896288992779 -34.591906744291606,-58.365801891471193 -34.591868076313865,-58.365760086328088 -34.59193417246297,-58.365849709471085 -34.591977555178296,-58.365191532211092 -34.592976788417936,-58.365047883362706 -34.593179850483601,-58.364379959335714 -34.594195339567982,-58.364368263729801 -34.594219415585663,-58.364362537526624 -34.594236665161418,-58.364358939631408 -34.594254550279231,-58.364357385547102 -34.594272507469491,-58.364357960437374 -34.594290536800578,-58.364360749797889 -34.594308356640461,-58.364365583305307 -34.594325966851436,-58.364372461375773 -34.594343015307601,-58.364381384010443 -34.594359502008516,-58.364392181217355 -34.594375145115762,-58.364404768000668 -34.594389803709021,-58.364418974036077 -34.594403477652811,-58.364434799655541 -34.594415885243848,-58.364452074616999 -34.59442695591963,-58.364470458353281 -34.594436618980133,-58.364490036274887 -34.594444663217899,-58.364510297323243 -34.594451158646379,-58.364595588000668 -34.594487073702794,-58.364614738064098 -34.594496878208105,-58.364634486918241 -34.594504429583104,-58.364655260208821 -34.594509869020335,-58.364676717284375 -34.594513196245302,-58.364698432330414 -34.594514410915806,-58.364720235103007 -34.594513442469776,-58.364741614625032 -34.594510290496977,-58.364762485566999 -34.594505095779553,-58.364782337117539 -34.5944977170575,-58.364801083699703 -34.594488506389027,-58.364818299500051 -34.594477463432824,-58.364833728865307 -34.594464728835291,-58.36484728630257 -34.594450584229435,-58.364858630996991 -34.594435170193215,-58.364867592294196 -34.594418768291483,-58.364873829545417 -34.594401378251604,-58.365191283827485 -34.593918233295206,-58.365677737305525 -34.593178873943586,-58.3658929794519 -34.592851074350705,-58.365907219204118 -34.592835662509273,-58.36592724221137 -34.592826875228859,-58.365956198692849 -34.592825348831745,-58.365985141543675 -34.592835583439161,-58.366098519220095 -34.592884548387481,-58.366119887515111 -34.592890692300202,-58.36614451017941 -34.592881063521027,-58.366168961212921 -34.592872561405606,-58.366192847062131 -34.592837297230865,-58.366379934619573 -34.59292061729964,-58.366359370021982 -34.592955954557823,-58.366366927074381 -34.592975257050718,-58.366368265262828 -34.592996385691414,-58.366386303792659 -34.593009921582983,-58.366777765980132 -34.593178475908367,-58.366911496187619 -34.59322914630232,-58.366977554479931 -34.593178351084639,-58.367166013584985 -34.593255191895096,-58.367150597875145 -34.593330886999929,-58.369121906914565 -34.594173292352934,-58.369054323959553 -34.594217185877106,-58.367899385220838 -34.597486631419443,-58.367884941461249 -34.597512715280516,-58.367863141909091 -34.597519783681705,-58.367834003992705 -34.597518886633019,-58.366501795126545 -34.597418892277375,-58.366482127725213 -34.597426224094576,-58.366462706478508 -34.597444606666272,-58.366456756241 -34.597471383843242,-58.366448714945342 -34.597496446628703,-58.366442127904833 -34.59755549495906,-58.366426952144039 -34.597688869495002,-58.366360402535868 -34.598257990811895,-58.366092322083134 -34.598237637252609,-58.366175398733823 -34.597467391887534,-58.366174382367156 -34.597424249714706,-58.366148930791304 -34.59739363460573,-58.366103357819618 -34.597385852889872,-58.363836844183076 -34.5972078348575,-58.363820097818291 -34.59720046551417,-58.363810596288189 -34.597187648310083,-58.364399939224896 -34.595524914111344,-58.364405942651416 -34.595489283770483,-58.364404686434902 -34.59547125389436,-58.364400619408102 -34.595453573880249,-58.364393826487373 -34.595436455071848,-58.36437862007152 -34.595414148439943,-58.36436793333624 -34.595398887409566,-58.364350989593149 -34.595383522176874,-58.36431331938698 -34.595362136620935,-58.364147481339515 -34.595317868140228,-58.364082473036852 -34.595304582434643,-58.3640670709134 -34.595303839817426,-58.364047175334555 -34.595305022654316,-58.363997230757192 -34.595311328427613,-58.363970416542749 -34.595318806743649,-58.363944186406897 -34.595330143703862,-58.363922239000487 -34.595342601914574,-58.363901356760948 -34.595357693197961,-58.363884057724661 -34.595375482694578,-58.36386060473081 -34.595407392819581,-58.363848427945065 -34.59543537276766,-58.363817979544748 -34.595427929221024,-58.363809436340837 -34.595452883260982,-58.363820083472959 -34.595455488044934,-58.363792423390237 -34.59553277339834,-58.363799768497863 -34.595534573223503,-58.363791795983744 -34.595556273513942,-58.363784647080656 -34.595554482861466,-58.363582587462332 -34.596132279182868,-58.363600036224476 -34.596135466434148,-58.363532549642919 -34.596326670789942,-58.363522610730165 -34.596324273888392,-58.363495134767682 -34.596402091163696,-58.36350507368892 -34.596404488067414,-58.36341459507679 -34.596660829959418,-58.36313793377137 -34.596637666200458,-58.36276610352585 -34.596567148296835,-58.362483013030968 -34.596498674077743,-58.362239067520157 -34.596385370557513,-58.36201622711522 -34.596285605609594,-58.361679340888699 -34.596124828060795,-58.361094151283396 -34.595857888587076,-58.361115406028141 -34.595826109003291,-58.360925930030817 -34.595739343848287,-58.360906996995453 -34.595766778126652,-58.360428826791725 -34.595537777965411,-58.36037974242349 -34.595512309360416,-58.360348837641872 -34.595477244347151,-58.3603289843497 -34.595470538985396,-58.360318247013637 -34.595429371208702,-58.360318943260545 -34.595382766053532,-58.360352436600401 -34.595257209620371,-58.360360812322249 -34.59521503358031,-58.360360721096512 -34.595194463983418,-58.360362406039243 -34.595177697138958,-58.360359201135914 -34.595159395153864,-58.360337058449645 -34.595109039992295,-58.360323481197341 -34.595086979301065,-58.360309426797379 -34.595071778190928,-58.360294597831853 -34.595057072222907,-58.360283914095035 -34.595048896180892,-58.360271117626183 -34.595040725125891,-58.360238225916561 -34.595024347586268,-58.360205661748807 -34.595018100281251,-58.360184703226196 -34.595014945653368,-58.360160537135314 -34.595013996863237,-58.360109572259695 -34.595007928782408,-58.360081179717724 -34.595002164608573,-58.360045741546116 -34.59499497004056,-58.360015250574079 -34.594995954003608,-58.359886931410877 -34.594991086338695,-58.359504605362218 -34.594946610931707,-58.35943383148178 -34.594941071976137,-58.359338993521362 -34.59493091784968,-58.359307791870719 -34.594927577129525,-58.359260960895043 -34.594928249582203,-58.359234034531404 -34.594937802979665,-58.359199566940141 -34.594937239001858,-58.359145272951579 -34.594934614812409,-58.359084164507372 -34.594933129645703,-58.358943424032098 -34.594923815340678,-58.358885983929021 -34.594917798934169,-58.358837980139768 -34.594914873468404,-58.358805969160841 -34.594919714012576,-58.358743870535193 -34.594934300565406,-58.358680643459827 -34.594962155369039,-58.35867369695822 -34.594973020852514,-58.358673064934095 -34.59499032802416,-58.358667017700974 -34.595013803774748,-58.358531523177916 -34.594950462650004,-58.358499945800936 -34.594936372958941,-58.358475975574471 -34.594934750294705,-58.355931628879539 -34.594774037621754,-58.354261270344224 -34.594688124861229,-58.351140094745695 -34.595166949667821,-58.351138308258705 -34.595356603212736,-58.354279530871885 -34.594857302539488,-58.357323174419989 -34.595093242042012,-58.357688512992546 -34.595143149208816,-58.358515789601732 -34.595181677815603,-58.359252361857017 -34.595240320045903,-58.363281413407599 -34.597085898945409,-58.363450930119512 -34.597125686343283,-58.363439820690566 -34.597157579936656,-58.363533560683656 -34.597180333075912,-58.363499349393003 -34.597302422617325,-58.363233665172878 -34.598061390262586,-58.363730729601876 -34.598104401680793,-58.363861677708201 -34.59813619916595,-58.364088622384607 -34.598156172263408,-58.365068718313069 -34.598227667288214,-58.365960931457323 -34.598292816956857,-58.3666064564148 -34.598325018359333,-58.367359403104786 -34.598259761394623,-58.367777702989038 -34.598292976083215,-58.367980701469946 -34.598401870366146,-58.368116331843062 -34.598437188181158,-58.369512342616247 -34.598321285979978,-58.370478477094679 -34.595927632361018,-58.372189171576558 -34.591762835613089,-58.372289866312663 -34.591614178227424,-58.372350541104318 -34.591534565939853,-58.372489764082054 -34.591546570810728)));;1;1_1_1;COMUNA 1;1;1;336;212;124;170,97%;82;80;97,56%;2;2,50%;65;19;29,23%;46;70,77%
MULTIPOLYGON (((-58.386522330570898 -34.603993093474372,-58.38634220079723 -34.603982487531539,-58.385132649433665 -34.603911581128436,-58.385042562216405 -34.605074102378872,-58.385038627131635 -34.605183963113554,-58.38647593187769 -34.605275929211338,-58.386495104114609 -34.605173754289858,-58.386522330570898 -34.603993093474372)));;2;1_12_1;COMUNA 1;12;1;341;184;157;117,20%;365;361;98,90%;4;1,11%;116;25;21,55%;91;78,45%
MULTIPOLYGON (((-58.37938327879349 -34.604838177477156,-58.378006464296227 -34.604744338782503,-58.378071018883702 -34.603491519965146,-58.376658703910358 -34.603405036074776,-58.376653954057929 -34.60355102409688,-58.376579393773895 -34.604657350756305,-58.376569879030882 -34.604798476046234,-58.376528871720375 -34.605825668270683,-58.37651426933661 -34.60619179824868,-58.376502281935885 -34.606417572761551,-58.376724708135299 -34.60630117609977,-58.377508053798636 -34.60588994978815,-58.377957246838314 -34.605654197523712,-58.379379035670311 -34.60490789548102,-58.37938327879349 -34.604838177477156)));;3;1_12_10;COMUNA 1;12;10;296;162;134;120,90%;629;627;99,68%;2;0,32%;101;1;0,99%;100;99,01%
MULTIPOLYGON (((-58.367921141467477 -34.605174261616412,-58.367724625064341 -34.606913327850215,-58.368012847947959 -34.606922425432757,-58.368155131885302 -34.606964438710435,-58.368380547233173 -34.606915700628299,-58.368828936542997 -34.606825446813339,-58.369082147261544 -34.606767174167018,-58.36922021389622 -34.60673700082976,-58.369250818098642 -34.606589564796515,-58.369365877809663 -34.60652387579885,-58.369438812030673 -34.606501958929279,-58.3696631849498 -34.606529786931773,-58.369844443586622 -34.606552622271025,-58.369846165110374 -34.606552765320956,-58.369846280498024 -34.606552774909098,-58.370192455483576 -34.606771691619187,-58.37019425809995 -34.606790462465426,-58.370303681293386 -34.607190811249652,-58.370582267025931 -34.607363918609721,-58.370624043142783 -34.607389873942779,-58.370757686885668 -34.607509224200079,-58.370823899834889 -34.607585174206434,-58.370927288321411 -34.607699469549971,-58.370917765517895 -34.607838904111929,-58.372177935104276 -34.607929355892466,-58.37318473640871 -34.607992917913229,-58.373517924034154 -34.608013937318539,-58.373515280771393 -34.607936890312665,-58.373570897045759 -34.607940522634429,-58.375001698201153 -34.607203081665311,-58.37557967513608 -34.606900526844349,-58.376502281935885 -34.606417572761551,-58.37651426933661 -34.60619179824868,-58.376528871720375 -34.605825668270683,-58.376569879030882 -34.604798476046234,-58.376579393773895 -34.604657350756305,-58.376653954057929 -34.60355102409688,-58.376658703910358 -34.603405036074776,-58.375216328330616 -34.603316612809458,-58.373849753508658 -34.603232875776051,-58.372575160556714 -34.603154755001292,-58.372460613102795 -34.603147205272002,-58.371274260267313 -34.603069136136284,-58.371094050620243 -34.603057310396608,-58.370614996532318 -34.603025751450453,-58.370472513266215 -34.603018178768842,-58.370263429936813 -34.603007104651574,-58.370074445900947 -34.602997101812974,-58.369931111022126 -34.602989527852699,-58.369182869304694 -34.602924165520427,-58.369010841053985 -34.602908469590133,-58.3681856739856 -34.602833225734528,-58.368047530225532 -34.604056008376695,-58.367921141467477 -34.605174261616412)));;4;1_12_11;COMUNA 1;12;11;528;294;234;125,64%;375;370;98,67%;5;1,35%;136;7;5,15%;129;94,85%
MULTIPOLYGON (((-58.385132649433665 -34.603911581128436,-58.383711459095991 -34.603828201507511,-58.383710635415902 -34.603978488280141,-58.383620055590889 -34.605100584096874,-58.383735459359222 -34.605107208377326,-58.384901080080141 -34.605175142768779,-58.385038627131635 -34.605183963113554,-58.385042562216405 -34.605074102378872,-58.385132649433665 -34.603911581128436)));;5;1_12_2;COMUNA 1;12;2;229;101;128;78,91%;445;445;100,00%;0;0,00%;129;16;12,40%;113;87,60%
MULTIPOLYGON (((-58.382133606503793 -34.605014326781173,-58.382125873703281 -34.605172074015492,-58.382078091972808 -34.606140810754042,-58.382209851233299 -34.606146743032035,-58.383450174049834 -34.606224459209031,-58.383581417285349 -34.606235882831683,-58.383614540261931 -34.605168329518811,-58.383620055590889 -34.605100584096874,-58.383710635415902 -34.603978488280141,-58.383711459095991 -34.603828201507511,-58.382205530228347 -34.603739819699364,-58.382150026327054 -34.604680804088588,-58.382133606503793 -34.605014326781173)));;6;1_12_3;COMUNA 1;12;3;723;374;349;107,16%;744;739;99,33%;5;0,68%;314;104;33,12%;210;66,88%
MULTIPOLYGON (((-58.385038627131635 -34.605183963113554,-58.384901080080141 -34.605175142768779,-58.383735459359222 -34.605107208377326,-58.383620055590889 -34.605100584096874,-58.383614540261931 -34.605168329518811,-58.383581417285349 -34.606235882831683,-58.383708657618634 -34.606247022021158,-58.384879891854084 -34.606340594998528,-58.384992401238485 -34.606347497944554,-58.385010466172496 -34.606247576175022,-58.385035739822378 -34.605266217853639,-58.385038627131635 -34.605183963113554)));;7;1_12_4;COMUNA 1;12;4;393;168;225;74,67%;341;339;99,41%;2;0,59%;209;110;52,63%;99;47,37%
MULTIPOLYGON (((-58.384992401238485 -34.606347497944554,-58.384977504395685 -34.606429533742769,-58.384917545936467 -34.607429321140401,-58.38491575014703 -34.60752826729783,-58.38538010272682 -34.607557014200879,-58.386309408571691 -34.607610700124752,-58.386308226069197 -34.607506822323423,-58.386366742864141 -34.606575064024696,-58.386376664345654 -34.606436966535234,-58.386450768208881 -34.605410073402638,-58.38647593187769 -34.605275929211338,-58.385038627131635 -34.605183963113554,-58.385035739822378 -34.605266217853639,-58.385010466172496 -34.606247576175022,-58.384992401238485 -34.606347497944554)));;8;1_12_5;COMUNA 1;12;5;600;264;336;78,57%;505;504;99,80%;1;0,20%;275;32;11,64%;243;88,36%
MULTIPOLYGON (((-58.384992401238485 -34.606347497944554,-58.384879891854084 -34.606340594998528,-58.383708657618634 -34.606247022021158,-58.383581417285349 -34.606235882831683,-58.383450174049834 -34.606224459209031,-58.382209851233299 -34.606146743032035,-58.382078091972808 -34.606140810754042,-58.382070619996462 -34.60629285369172,-58.382022336556908 -34.60733863498622,-58.38216567833615 -34.607347955376419,-58.38350881116191 -34.607441514000882,-58.383647808987583 -34.607451181955994,-58.38491575014703 -34.60752826729783,-58.384917545936467 -34.607429321140401,-58.384977504395685 -34.606429533742769,-58.384992401238485 -34.606347497944554)));;9;1_12_6;COMUNA 1;12;6;472;220;252;87,30%;504;502;99,60%;2;0,40%;202;49;24,26%;153;75,74%
MULTIPOLYGON (((-58.38538010272682 -34.607557014200879,-58.38491575014703 -34.60752826729783,-58.383647808987583 -34.607451181955994,-58.38350881116191 -34.607441514000882,-58.383464292047378 -34.60857779439521,-58.383607804137014 -34.608589578080434,-58.384707615290893 -34.608674866639696,-58.384865947090852 -34.608688207669999,-58.385063542564041 -34.608704813040667,-58.386143437443778 -34.608776836061729,-58.386275794889301 -34.608785510904191,-58.386309408571691 -34.607610700124752,-58.38538010272682 -34.607557014200879)));;10;1_12_7;COMUNA 1;12;7;786;381;405;94,07%;546;542;99,27%;4;0,74%;347;89;25,65%;258;74,35%
